University,Average GPA,4.0 GPA,3.99-3.75 GPA,3.50-3.74 GPA,3.49-3.25 GPA,3.24-3.00 GPA,2.99-2.50 GPA,2.49-2.0 GPA,1.99-1.0 GPA,Below 1.0 GPA,SAT Reading and Writing 700-800,SAT Reading and Writing 600-699,SAT Reading and Writing 500-599,SAT Reading and Writing 400-499,SAT Reading and Writing 300-399,SAT Reading and Writing 200-299,SAT Math 700-800,SAT Math 600-699,SAT Math 500-599,SAT Math 400-499,SAT Math 300-399,SAT Math 200-299,SAT Reading and Writing 25th Percentile,SAT Reading and Writing  50th Percentile,SAT Reading and Writing 75th Percentile,SAT Math 25th Percentile,SAT Math 50th Percentile,SAT Math 75th Percentile,ACT Math 25th Percentile,ACT Math 50th Percentile,ACT Math 75th Percentile,ACT English 25th Percentile,ACT English 50th Percentile,ACT English 75th Percentile,ACT Reading 25th Percentile,ACT Reading 50th Percentile,ACT Reading 75th Percentile,ACT Science 25th Percentile,ACT Science 50th Percentile,ACT Science 75th Percentile,ACT Writing 25th Percentile,ACT Writing 50th Percentile,ACT Writing 75th Percentile
harvard,4.2,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%,92.34%,6.96%,0.70%,0.00%,0.00%,0.00%,95.94%,3.94%,0.12%,0.00%,0.00%,0.00%,740.00,760.00,780.00,760.00,790.00,800.00,33.00,35.00,36.00,35.00,35.00,36.00,34.00,35.00,36.00,33.00,35.00,36.00,NA,NA,NA
princeton,3.95,68.41%,25.40%,3.70%,1.75%,0.67%,0.00%,0.00%,0.00%,0.00%,91.40%,7.93%,0.67%,0.00%,0.00%,0.00%,96.54%,3.24%,0.22%,0.00%,0.00%,0.00%,740.00,760.00,780.00,760.00,790.00,800.00,32.00,34.00,35.00,35.00,35.00,36.00,34.00,36.00,36.00,33.00,35.00,36.00,8.00,9.00,10.00
yale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.12%,7.13%,0.76%,0.00%,0.00%,0.00%,92.76%,6.16%,0.97%,0.11%,0.00%,0.00%,740.00,760.00,780.00,760.00,780.00,800.00,31.00,34.00,35.00,34.00,35.00,36.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.00%,6.00%,0.00%,0.00%,0.00%,0.00%,95.00%,4.00%,0.00%,0.00%,0.00%,0.00%,740.00,760.00,770.00,760.00,780.00,800.00,32.00,34.00,35.00,35.00,35.00,36.00,34.00,35.00,36.00,33.00,35.00,36.00,8.00,9.00,10.00
mit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.40%,8.30%,0.30%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,730.00,760.00,780.00,780.00,790.00,800.00,34.00,35.00,36.00,34.00,35.00,36.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
cornell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.00%,11.40%,0.50%,0.10%,0.00%,0.00%,95.00%,4.90%,0.10%,0.00%,0.00%,0.00%,720.00,740.00,770.00,760.00,780.00,790.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
columbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.00%,8%,0.00%,0.00%,0.00%,0.00%,97%,3%,0.00%,0.00%,0.00%,0.00%,730.00,760.00,770.00,760.00,780.00,800.00,32.00,34.00,35.00,35.00,35.00,36.00,34.00,35.00,36.00,33.00,35.00,36.00,NA,NA,NA
upenn,3.9,58.00%,31.00%,6.00%,4.00%,0.00%,0.00%,0.00%,0.00%,0.00%,95%,5%,0.00%,0.00%,0.00%,0.00%,99%,1%,0.00%,0.00%,0.00%,0.00%,730.00,750.00,770.00,770.00,790.00,800.00,33.00,35.00,36.00,35.00,35.00,36.00,34.00,35.00,36.00,34.00,35.00,36.00,NA,NA,NA
stanford,3.9,75.20%,15.50%,5.80%,2.90%,0.70%,0.00%,0.00%,0.00%,0.00%,95%,5%,0.00%,0.00%,0.00%,0.00%,96%,4%,0.00%,0.00%,0.00%,0.00%,740.00,760.00,780.00,770.00,790.00,800.00,32.00,35.00,35.00,35.00,35.00,36.00,34.00,35.00,36.00,33.00,35.00,36.00,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
